FlockID,Chicken,week,weight.kg
1,1,1,0.04
1,2,1,0.04
1,3,1,0.06
1,4,1,0.06
1,5,1,0.06
1,6,1,0.04
1,7,1,0.04
1,8,1,0.02
1,9,1,0.06
1,10,1,0.04
2,1,1,0.08
2,2,1,0.08
2,3,1,0.08
2,4,1,0.06
2,5,1,0.06
2,6,1,0.08
2,7,1,0.08
2,8,1,0.08
2,9,1,0.06
2,10,1,0.06
3,1,1,0.04
3,2,1,0.04
3,3,1,0.06
3,4,1,0.03
3,5,1,0.04
3,6,1,0.04
3,7,1,0.06
3,8,1,0.04
3,9,1,0.03
3,10,1,0.04
4,1,1,0.05
4,2,1,0.05
4,3,1,0.05
4,4,1,0.05
4,5,1,0.05
4,6,1,0.05
4,7,1,0.05
4,8,1,0.05
4,9,1,0.05
4,10,1,0.05
5,1,1,0.05
5,2,1,0.05
5,3,1,0.05
5,4,1,0.05
5,5,1,0.05
5,6,1,0.05
5,7,1,0.05
5,8,1,0.05
5,9,1,0.05
5,10,1,0.05
6,1,1,0.03
6,2,1,0.03
6,3,1,0.03
6,4,1,0.35
6,5,1,0.04
6,6,1,0.04
6,7,1,0.04
6,8,1,0.04
6,9,1,0.04
6,10,1,0.04
7,1,1,0.02
7,2,1,0.01
7,3,1,0.01
7,4,1,0.02
7,5,1,0.01
7,6,1,0.02
7,7,1,0.01
7,8,1,0.01
7,9,1,0.01
7,10,1,0.01
8,1,1,0.1
8,2,1,0.08
8,3,1,0.12
8,4,1,0.1
8,5,1,0.1
8,6,1,0.1
8,7,1,0.08
8,8,1,0.08
8,9,1,0.12
8,10,1,0.1
9,1,1,0.03
9,2,1,0.02
9,3,1,0.02
9,4,1,0.02
9,5,1,0.02
9,6,1,0.02
9,7,1,0.02
9,8,1,0.02
9,9,1,0.02
9,10,1,0.02
10,1,1,0.02
10,2,1,0.02
10,3,1,0.02
10,4,1,0.02
10,5,1,0.02
10,6,1,0.02
10,7,1,0.02
10,8,1,0.02
10,9,1,0.03
10,10,1,0.03
11,1,1,0.08
11,2,1,0.08
11,3,1,0.08
11,4,1,0.1
11,5,1,0.08
11,6,1,0.08
11,7,1,0.08
11,8,1,0.06
11,9,1,0.08
11,10,1,0.06
1,1,2,0.12
1,2,2,0.06
1,3,2,0.11
1,4,2,0.06
1,5,2,0.12
1,6,2,0.06
1,7,2,0.06
1,8,2,0.09
1,9,2,0.06
1,10,2,0.06
2,1,2,0.12
2,2,2,0.12
2,3,2,0.11
